ID,Start time,Completion time,Email,Name,Which gender are you?,Which age bracket do you fall into?,What’s your employment status?,What’s your highest educational level?,What's your monthly income level?,Which digital marketing channels do you most frequently use to seek information about tech repair services? (Select all that apply),Have you heard of a tech repair company called GAMP?,Have you ever purchased or booked a service with GAMP Technology Limited directly through their digital marketing channels?,"If yes, what motivated you to purchase or book a service through their digital marketing channels?",How often do you encounter digital marketing content related to tech repair services from GAMP Technology Limited?,Which digital marketing channel do you find most informative or influential when seeking information about tech repair services?,How likely are you to engage with digital marketing content from GAMP Technology Limited on social media platforms?,Do you trust the digital marketing content from GAMP Technology Limited to provide accurate information about their tech repair services?,Have you ever been influenced by digital marketing campaigns to seek tech repair services from GAMP Technology Limited?,"On a scale of 1 to 5, how would you rate the influence of digital marketing campaigns on your decision to seek tech repair services from GAMP Technology Limited?
",How often do you click on digital advertisements from GAMP Technology Limited to learn more about their services?,Which aspect of GAMP Technology Limited's digital marketing campaigns appeals to you the most when considering their tech repair services? (Select all that apply),How likely are you to recommend GAMP Technology Limited to others based on the effectiveness of their digital marketing campaigns?,How do you perceive GAMP Technology Limited's digital marketing campaigns compared to their known competitors (such as Carlcare) or less-known repairers?,How did you become aware of GAMP Technology Limited? (Select all that apply),"On a scale of 1 to 5, how satisfied are you with the consistency of GAMP Technology Limited's digital marketing efforts?",How frequently do you engage with GAMP Technology Limited's digital marketing content?,What factors contribute to your continued engagement and loyalty to GAMP Technology Limited? (Select all that apply),How likely are you to switch to a known competitor (Carlcare) or less-known repairers if you find their digital marketing efforts more appealing than those of GAMP Technology Limited?,Are there any services that GAMP Technology Limited does not provide right now and should provide?,How else can GAMP Technology Limited improve on its digital marketing efforts to serve you better?
11,5/20/24 10:27:19,5/20/24 10:33:12,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","Yes, I have",Yes,Appealing offers or discounts,Several times a day,Social media platforms,Often,Strongly Agree,Yes,4,Frequently,Informative content;,Often,Superior,"Through social media advertisements;Through search engine results;Through expert (tech/gadget sales) platforms;Through offline advertising (billboards, flyers, etc.);",4 (Satisfied),Occasionally,Quality of service;Reliability of service;Customer service experience;Credibility of digital marketing campaigns;,Very unlikely,I’m not so sure,I’m not sure 
12,5/20/24 10:23:51,5/20/24 10:34:09,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;Advertising on Websites;Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,1,Rarely,Company credibility;Informative content;Wide online reach;,Sometimes,Not sure,"Through social media advertisements;Through offline advertising (billboards, flyers, etc.);",3 (Not sure),Rarely,Quality of service;Reliability of service;Credibility of digital marketing campaigns;,Neutral,I’m not sure,I’m not sure
13,5/20/24 10:29:52,5/20/24 10:34:22,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,Informative content;,Rarely,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Brand reputation;,Neutral,None,None
14,5/20/24 10:47:05,5/20/24 10:50:01,anonymous,,Female,18-24,Student,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Appealing offers or discounts,Rarely or Never,Social media platforms,Never,Neutral,No,5,Occasionally,"Interactive features (polls, quizzes, etc.);",Sometimes,Incomparable,Through social media advertisements;,3 (Not sure),Occasionally,Discounts or promotions offered;,Very unlikely,-,-
15,5/20/24 11:02:30,5/20/24 11:05:16,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Expert (Tech/Gadget sales) platforms;Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Positive reviews or testimonials,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Occasionally,Company credibility;,Often,Superior,Through social media advertisements;Through recommendations from friends or family;,4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Neutral,No,Wider reach
16,5/20/24 11:28:36,5/20/24 11:33:01,anonymous,,Female,18-24,Student,High school or equivalent,"Below ?50,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,A few times a week,Social media platforms,Never,Neutral,No,1,Never,Informative content;,Sometimes,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;,Neutral,I don't know ,I don't know 
17,5/20/24 11:58:08,5/20/24 12:15:20,anonymous,,Male,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,3,Rarely,"Interactive features (polls, quizzes, etc.);Appealing visuals and designs;Informative content;",Sometimes,Inferior,Through recommendations from friends or family;,3 (Not sure),Rarely,Quality of service;,Likely,Can't think of any,Can't think of any
18,5/20/24 10:25:54,5/20/24 12:46:43,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",Yes,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Occasionally,Promotional offers;,Sometimes,Similar,Through social media advertisements;Through search engine results;Through recommendations from friends or family;,3 (Not sure),Occasionally,Discounts or promotions offered;,Very likely,No,N/A
19,5/20/24 14:07:37,5/20/24 14:24:23,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,1,Rarely,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Rarely,Reliability of service;,Neutral,No,Not sure
20,5/20/24 14:20:29,5/20/24 14:26:04,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Positive reviews or testimonials,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Rarely,Promotional offers;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Rarely,Brand reputation;,Neutral,Not sure,Not sure
21,5/20/24 14:22:23,5/20/24 14:29:07,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,1,Occasionally,Company credibility;Informative content;,Always,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Quality of service;Reliability of service;Customer service experience;Brand reputation;,Neutral,Nil,Nil
22,5/20/24 15:13:44,5/20/24 15:33:07,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Expert (Tech/Gadget sales) platforms;Search engines (Google, Bing, etc.);Advertising on Websites;WhatsApp/Telegram/Discord communities;","Yes, I have",Yes,Positive reviews or testimonials,A few times a week,Social media platforms,Sometimes,Agree,Yes,4,Frequently,"Informative content;Wide online reach;Promotional offers;Interactive features (polls, quizzes, etc.);Company credibility;Appealing visuals and designs;",Often,Superior,Through social media advertisements;,4 (Satisfied),Occasionally,Customer service experience;Quality of service;,Neutral,None for now,More promotions 
23,5/20/24 17:17:41,5/20/24 17:21:38,anonymous,,Male,35-44,Self-employed,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Advertising on Websites;Email Communication;","Yes, I have",Yes,Positive reviews or testimonials,A few times a week,Social media platforms,Always,Strongly Agree,Yes,5,Always,Company credibility;Informative content;Appealing visuals and designs;Promotional offers;,Always,Superior,Through social media advertisements;Through recommendations from friends or family;Through advertising on websites;,5 (Very Satisfied),Always,Quality of service;Reliability of service;Customer service experience;Brand reputation;,Very likely,None,Advertising 
24,5/20/24 17:09:59,5/20/24 17:42:39,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",Yes,Clear and informative content,A few times a week,Social media platforms,Often,Strongly Agree,Yes,5,Frequently,Company credibility;Informative content;Promotional offers;,Often,Superior,Through search engine results;Through social media advertisements;,4 (Satisfied),Frequently,Quality of service;Customer service experience;,Unlikely,"Sales of Gadgets. I think they should be an arm of GAMP that deals with the  sales of gadgets, because i know they are experts so they will be able to offer us good gadgets for sale and not counterfeits , like we get from other vendors.","Asides from my opinion stated above, i feel they are good to go."
25,5/20/24 17:51:25,5/20/24 17:55:00,anonymous,,Female,18-24,Student,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,1,Never,Promotional offers;,Rarely,Superior,Through social media advertisements;,4 (Satisfied),Occasionally,Reliability of service;,Likely,N/A,N/A
26,5/20/24 20:02:28,5/20/24 20:11:25,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,4,Rarely,Promotional offers;,Sometimes,Similar,Through recommendations from friends or family;,3 (Not sure),Never,Quality of service;Reliability of service;Customer service experience;Discounts or promotions offered;,Neutral,None ,This is the first time I'm hearing about GAMP
27,5/20/24 21:10:37,5/20/24 21:17:23,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Advertising on Websites;","Yes, I have",Yes,Clear and informative content,Several times a day,Social media platforms,Sometimes,Neutral,No,3,Rarely,Company credibility;Informative content;,Sometimes,Not sure,Through search engine results;,3 (Not sure),Never,Convenience of booking or purchasing process;,Very likely,N/A,N/A
28,5/21/24 9:50:38,5/21/24 9:53:52,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",Yes,None of the above,Once a week,Social media platforms,Often,Agree,Yes,4,Frequently,Company credibility;,Often,Superior,Through recommendations from friends or family;,4 (Satisfied),Frequently,Quality of service;,Unlikely,None,They’re doing good
29,5/21/24 12:08:26,5/21/24 12:12:00,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,A few times a week,Search engines,Often,Agree,Yes,4,Occasionally,Informative content;,Often,Similar,Through social media advertisements;Through search engine results;,4 (Satisfied),Occasionally,Quality of service;,Unlikely,No,Not dropping in quality
30,5/21/24 10:48:12,5/21/24 15:33:30,anonymous,,Male,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,A few times a week,Social media platforms,Often,Strongly Agree,Yes,4,Frequently,Informative content;,Often,Superior,Through social media advertisements;,4 (Satisfied),Frequently,Quality of service;,Unlikely,Retail of gadgets & accessories (apple esp),Make more reels about your repair process + product reviews
31,5/21/24 18:51:28,5/21/24 19:10:55,anonymous,,Female,25-34,Part-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,A few times a week,Social media platforms,Always,Strongly Agree,Yes,3,Frequently,Informative content;,Always,Superior,Through social media advertisements;,4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Neutral,.,.
32,5/22/24 1:22:46,5/22/24 1:26:24,anonymous,,Female,18-24,Student,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Customer service experience;,Neutral,Nil,Nil
33,5/22/24 11:26:01,5/22/24 11:34:30,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Advertising on Websites;Expert (Tech/Gadget sales) platforms;","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Agree,Yes,3,Occasionally,Promotional offers;Company credibility;,Always,Inferior,Through social media advertisements;,2 (Dissatisfied),Rarely,Quality of service;Reliability of service;Brand reputation;,Very unlikely,nil,nil
34,5/23/24 8:28:16,5/23/24 8:33:46,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Never,Promotional offers;,Rarely,Not sure,Through social media advertisements;,2 (Dissatisfied),Rarely,Reliability of service;,Likely,Promotional offers,SEO
35,5/23/24 8:31:34,5/23/24 8:35:47,anonymous,,Male,25-34,Full-time,Master's degree or higher,"Above ?500,000",Advertising on Websites;,"No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,3,Occasionally,Wide online reach;,Sometimes,Superior,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Occasionally,Credibility of digital marketing campaigns;,Neutral,Nil ,Nil
36,5/23/24 8:31:38,5/23/24 8:37:39,anonymous,,Female,18-24,Student,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,Appealing visuals and designs;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Unlikely,Never heard of gamp before now,Never heard of gamp before now
37,5/23/24 8:30:58,5/23/24 8:38:49,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;","Yes, I have",Yes,Positive reviews or testimonials,Several times a day,Social media platforms,Sometimes,Neutral,No,3,Always,Informative content;,Rarely,Superior,Through social media advertisements;Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Likely,None,None
38,5/23/24 8:35:22,5/23/24 8:39:52,anonymous,,Female,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,2,Rarely,Promotional offers;,Sometimes,Similar,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;,Very unlikely,I don't know ,No idea 
39,5/23/24 8:32:31,5/23/24 8:40:02,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Never,Company credibility;,Often,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Reliability of service;,Neutral,I don't know ,I don't know 
40,5/23/24 8:34:20,5/23/24 8:41:07,anonymous,,Male,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Appealing offers or discounts,Once a week,Search engines,Sometimes,Agree,No,3,Occasionally,Wide online reach;,Sometimes,Superior,"Through social media advertisements;Through offline advertising (billboards, flyers, etc.);",4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Neutral,None ,Nil
41,5/23/24 8:43:07,5/23/24 8:47:01,anonymous,,Female,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Convenience of booking or purchasing process;,Neutral,I have no idea. ,No idea. 
42,5/23/24 8:48:17,5/23/24 8:52:03,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"Below ?50,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,3,Rarely,Appealing visuals and designs;,Sometimes,Inferior,Through email communication;,3 (Not sure),Rarely,Quality of service;Reliability of service;,Likely,None ,I've not made any use of it before so I don't know 
43,5/23/24 8:47:57,5/23/24 8:56:03,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);Email Communication;Advertising on Websites;","No, I have not",No,None of the above,Rarely or Never,Search engines,Always,Neutral,No,3,Rarely,"Interactive features (polls, quizzes, etc.);",Rarely,Similar,Through email communication;,4 (Satisfied),Never,Customer service experience;,Likely,adebanjoelizabeth43@gmail.com,I don’t know about GAMP this my first time hearing on the organization 
44,5/23/24 9:38:56,5/23/24 9:43:59,anonymous,,Female,18-24,Student,High school or equivalent,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Often,Agree,No,3,Rarely,Informative content;,Often,Superior,Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Rarely,Customer service experience;,Neutral,No,Not sure 
45,5/23/24 9:43:18,5/23/24 10:00:42,anonymous,,Male,35-44,Self-employed,Bachelor's degree,"Above ?500,000",WhatsApp/Telegram/Discord communities;,"Yes, I have",No,None of the above,Several times a day,WhatsApp/Telegram/Discord Communities,Rarely,Neutral,No,1,Rarely,Promotional offers;,Sometimes,Similar,Through recommendations from friends or family;,4 (Satisfied),Rarely,Quality of service;,Likely,Yes,Social Broadcast
46,5/23/24 9:59:55,5/23/24 10:05:04,anonymous,,Male,25-34,Self-employed,Master's degree or higher,"Above ?500,000",WhatsApp/Telegram/Discord communities;,"Yes, I have",Yes,Appealing offers or discounts,Rarely or Never,Advertising on Websites,Rarely,Neutral,No,1,Never,Wide online reach;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Brand reputation;,Neutral,None,Nill
47,5/23/24 10:11:08,5/23/24 10:13:46,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Strongly Disagree,No,3,Never,Informative content;,Rarely,Similar,Through recommendations from friends or family;,3 (Not sure),Never,Discounts or promotions offered;Credibility of digital marketing campaigns;Reliability of service;Quality of service;Customer service experience;Brand reputation;Convenience of booking or purchasing process;,Neutral,None so far,None so far
48,5/23/24 10:33:05,5/23/24 10:38:23,anonymous,,Male,25-34,Unemployed,Master's degree or higher,"Above ?500,000","WhatsApp/Telegram/Discord communities;Search engines (Google, Bing, etc.);Email Communication;Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Rarely,Informative content;Promotional offers;,Sometimes,Similar,Through social media advertisements;Through WhatsApp/Telegram/Discord communities;Through recommendations from friends or family;,3 (Not sure),Rarely,Brand reputation;Reliability of service;Quality of service;,Neutral,N/a,N/a
49,5/23/24 10:38:19,5/23/24 10:48:04,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Search engines,Often,Neutral,No,3,Never,Wide online reach;,Often,Not sure,Through recommendations from friends or family;,4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Neutral,None,They are doing there best for now
50,5/23/24 11:01:10,5/23/24 11:01:23,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,5,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Similar,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Reliability of service;,Likely,No,Probably when I use them 
